PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
37602417,MicroRNAs (miRNAs) and long non-coding RNAs (lncRNAs) in endometriosis - review of literature,"Szaflik T, Romanowicz H, Szyllo K, Smolarz B.",Ginekol Pol. 2023 Aug 21. doi: 10.5603/gpl.95968. Online ahead of print.,Szaflik T,Ginekol Pol,2023,2023/8/21,,,10.5603/gpl.95968
37495470,Exosomal microRNAs in tubal fluid may be involved in damage to tubal reproductive function associated with tubal endometriosis,"Zhang Y, Zhang H, Yan L, Liang G, Zhu C, Wang Y, Ji S, He C, Sun J, Zhang J.",Reprod Biomed Online. 2023 Jun 23:103249. doi: 10.1016/j.rbmo.2023.06.004. Online ahead of print.,Zhang Y,Reprod Biomed Online,2023,2023/7/26,,,10.1016/j.rbmo.2023.06.004
37480408,Exosomal microRNAs and long noncoding RNAs: as novel biomarkers for endometriosis,"Soltani-Fard E, Asadi M, Taghvimi S, Vafadar A, Vosough P, Tajbakhsh A, Savardashtaki A.",Cell Tissue Res. 2023 Jul 22. doi: 10.1007/s00441-023-03802-5. Online ahead of print.,Soltani-Fard E,Cell Tissue Res,2023,2023/7/22,,,10.1007/s00441-023-03802-5
37392565,Overexpression of lncRNA-MEG3 inhibits endometrial cell proliferation and invasion via miR-21-5p/DNMT3B/Twist,"Yang S, Feng L, Zhang Q, Wu L, Zhao Q, Hou Y, Yan B, Zhang S.",Clinics (Sao Paulo). 2023 Jun 29;78:100235. doi: 10.1016/j.clinsp.2023.100235. eCollection 2023.,Yang S,Clinics (Sao Paulo),2023,2023/7/1,,,10.1016/j.clinsp.2023.100235
37389684,TNFα-Induced Altered miRNA Expression Links to NF-κB Signaling Pathway in Endometriosis,"Banerjee S, Xu W, Doctor A, Driss A, Nezhat C, Sidell N, Taylor RN, Thompson WE, Chowdhury I.",Inflammation. 2023 Jun 30. doi: 10.1007/s10753-023-01862-x. Online ahead of print.,Banerjee S,Inflammation,2023,2023/6/30,,,10.1007/s10753-023-01862-x
37235907,Modulation of microRNAs expression and cellular signaling pathways through curcumin as a potential therapeutical approach against ovarian cancer: A review,"Moazzami B, Chaichian S, Nikfar B, Arbabi Bidgoli S.",Pathol Res Pract. 2023 Jul;247:154527. doi: 10.1016/j.prp.2023.154527. Epub 2023 May 8.,Moazzami B,Pathol Res Pract,2023,2023/5/26,,,10.1016/j.prp.2023.154527
37233993,A novel mechanism regulating pyroptosis-induced fibrosis in endometriosis via lnc-MALAT1/miR-141-3p/NLRP3 pathway†,"Xu Y, Liu H, Xiong W, Peng Y, Li X, Long X, Jin J, Liang J, Weng R, Liu J, Zhang L, Liu Y.",Biol Reprod. 2023 Aug 10;109(2):156-171. doi: 10.1093/biolre/ioad057.,Xu Y,Biol Reprod,2023,2023/5/26,,,10.1093/biolre/ioad057
37205467,TNFα-induced altered miRNA expression links to NF-κB signaling pathway in endometriosis,"Banerjee S, Xu W, Doctor A, Driss A, Nezhat C, Sidell N, Taylor RN, Thompson WE, Chowdhury I.",Res Sq. 2023 May 4:rs.3.rs-2870585. doi: 10.21203/rs.3.rs-2870585/v1. Preprint.,Banerjee S,Res Sq,2023,2023/5/19,PMC10187425,,10.21203/rs.3.rs-2870585/v1
37188982,MicroRNA-210-3p Regulates Endometriotic Lesion Development by Targeting IGFBP3 in Baboons and Women with Endometriosis,"Kai K, Joshi NR, Burns GW, Hrbek SM, Vegter EL, Ochoa-Bernal MA, Song Y, Moldovan GE, Sempere LF, Miyadahira EH, Serafini PC, Fazleabas AT.",Reprod Sci. 2023 May 15. doi: 10.1007/s43032-023-01253-5. Online ahead of print.,Kai K,Reprod Sci,2023,2023/5/15,,,10.1007/s43032-023-01253-5
37106834,Uterine Transcriptome: Understanding Physiology and Disease Processes,"Kirschen GW, Hessami K, AlAshqar A, Afrin S, Lulseged B, Borahay M.",Biology (Basel). 2023 Apr 21;12(4):634. doi: 10.3390/biology12040634.,Kirschen GW,Biology (Basel),2023,2023/4/28,PMC10136129,,10.3390/biology12040634
37071897,Targeting YAP1 ameliorates progesterone resistance in endometriosis,"Lin SC, Li WN, Lin SC, Hou HT, Tsai YC, Lin TC, Wu MH, Tsai SJ.",Hum Reprod. 2023 Jun 1;38(6):1124-1134. doi: 10.1093/humrep/dead071.,Lin SC,Hum Reprod,2023,2023/4/18,,,10.1093/humrep/dead071
37047609,"Assessment of BMP7, SMAD4, and CDH1 Expression Profile and Regulatory miRNA-542-3p in Eutopic and Ectopic Endometrium of Women with Endometriosis","Zubrzycka A, Migdalska-Sęk M, Jędrzejczyk S, Brzeziańska-Lasota E.",Int J Mol Sci. 2023 Apr 2;24(7):6637. doi: 10.3390/ijms24076637.,Zubrzycka A,Int J Mol Sci,2023,2023/4/13,PMC10095043,,10.3390/ijms24076637
37047088,Liquid Biopsy in Endometriosis: A Systematic Review,"Ronsini C, Fumiento P, Iavarone I, Greco PF, Cobellis L, De Franciscis P.",Int J Mol Sci. 2023 Mar 24;24(7):6116. doi: 10.3390/ijms24076116.,Ronsini C,Int J Mol Sci,2023,2023/4/13,PMC10094565,,10.3390/ijms24076116
37023661,circPLOD2 knockdown suppresses endometriosis progression via the miR-216a-5p/ZEB1 axis,"Lai G, Bu D, Chen M, Liu H, Dong L.",Reprod Biol. 2023 Jun;23(2):100758. doi: 10.1016/j.repbio.2023.100758. Epub 2023 Apr 4.,Lai G,Reprod Biol,2023,2023/4/6,,,10.1016/j.repbio.2023.100758
37017808,Upregulation of HTRA1 mediated by the lncRNA NEAT1/miR-141-3p axis contributes to endometriosis development through activating NLRP3 inflammasome-mediated pyroptotic cell death and cellular inflammation,"Li L, Ye K, Wang D.",In Vitro Cell Dev Biol Anim. 2023 Mar;59(3):166-178. doi: 10.1007/s11626-023-00760-8. Epub 2023 Apr 5.,Li L,In Vitro Cell Dev Biol Anim,2023,2023/4/5,,,10.1007/s11626-023-00760-8
36983035,Downregulation of DROSHA: Could It Affect miRNA Biogenesis in Endometriotic Menstrual Blood Mesenchymal Stem Cells?,"Cressoni ACL, Penariol LBC, Padovan CC, Orellana MD, Rosa-E-Silva JC, Poli-Neto OB, Ferriani RA, de Paz CCP, Meola J.",Int J Mol Sci. 2023 Mar 22;24(6):5963. doi: 10.3390/ijms24065963.,Cressoni ACL,Int J Mol Sci,2023,2023/3/29,PMC10057010,,10.3390/ijms24065963
36979365,Towards a Better Understanding of Endometriosis-Related Infertility: A Review on How Endometriosis Affects Endometrial Receptivity,"Shan J, Li DJ, Wang XQ.",Biomolecules. 2023 Feb 24;13(3):430. doi: 10.3390/biom13030430.,Shan J,Biomolecules,2023,2023/3/29,PMC10046640,,10.3390/biom13030430
36915057,PCGEM1 promotes cell proliferation and migration in endometriosis by targeting miR-124-3p-mediated ANTXR2 expression,"Liu Y, Xie C, Li T, Lu C, Fan L, Zhang Z, Peng S, Lv N, Lu D.",BMC Womens Health. 2023 Mar 13;23(1):104. doi: 10.1186/s12905-023-02250-1.,Liu Y,BMC Womens Health,2023,2023/3/14,PMC10012497,,10.1186/s12905-023-02250-1
36901866,Altered Differential Expression of Genes and microRNAs Related to Adhesion and Apoptosis Pathways in Patients with Different Phenotypes of Endometriosis,"Antonio LGL, Meola J, Rosa-E-Silva ACJS, Nogueira AA, Candido Dos Reis FJ, Poli-Neto OB, Rosa-E-Silva JC.",Int J Mol Sci. 2023 Feb 23;24(5):4434. doi: 10.3390/ijms24054434.,Antonio LGL,Int J Mol Sci,2023,2023/3/11,PMC10002379,,10.3390/ijms24054434
36868502,"Evaluation of expression of biomarkers of PLAGL1 (ZAC1), microRNA, and their non-coding RNAs in patients with endometriosis","Tahermanesh K, Hakimpour S, Govahi A, Rokhgireh S, Mehdizadeh M, Minaeian S, Barati M, Chaichian S, Kashi AM, Nassiri S, Eslahi N, Ajdary M, Ahmadi M.",J Gynecol Obstet Hum Reprod. 2023 Apr;52(4):102568. doi: 10.1016/j.jogoh.2023.102568. Epub 2023 Mar 2.,Tahermanesh K,J Gynecol Obstet Hum Reprod,2023,2023/3/3,,,10.1016/j.jogoh.2023.102568
36768775,"The Expression of TGF-β1, SMAD3, ILK and miRNA-21 in the Ectopic and Eutopic Endometrium of Women with Endometriosis","Zubrzycka A, Migdalska-Sęk M, Jędrzejczyk S, Brzeziańska-Lasota E.",Int J Mol Sci. 2023 Jan 26;24(3):2453. doi: 10.3390/ijms24032453.,Zubrzycka A,Int J Mol Sci,2023,2023/2/11,PMC9917033,,10.3390/ijms24032453
36751747,"Role of serum microRNAs as biomarkers for endometriosis, endometrioid carcinoma of ovary & endometrioid endometrial cancer","Kumari P, Sharma I, Saha SC, Srinivasan R, Bhardwaj P.",Indian J Med Res. 2022 Sep;156(3):516-523. doi: 10.4103/ijmr.IJMR_288_20.,Kumari P,Indian J Med Res,2022,2023/2/8,PMC10101355,,10.4103/ijmr.IJMR_288_20
36650372,MicroRNA-92a-3p Inhibits Cell Proliferation and Invasion by Regulating the Transcription Factor 21/Steroidogenic Factor 1 Axis in Endometriosis,"Zhu J, Xu Z, Wu P, Zeng C, Peng C, Zhou Y, Xue Q.",Reprod Sci. 2023 Jul;30(7):2188-2197. doi: 10.1007/s43032-021-00734-9. Epub 2023 Jan 17.,Zhu J,Reprod Sci,2023,2023/1/17,PMC10310800,,10.1007/s43032-021-00734-9
36622742,CDKN2B-AS1 is overexpressed in polycystic ovary syndrome and sponges miR-181a to promote granulosa cell proliferation,"Huang Y, Zhang Y, Zhou Y, Chen Y, Zhu Q.",Anticancer Drugs. 2023 Feb 1;34(2):207-213. doi: 10.1097/CAD.0000000000001405. Epub 2023 Oct 24.,Huang Y,Anticancer Drugs,2023,2023/1/9,PMC9815812,,10.1097/CAD.0000000000001405
36617199,Down-Regulation of miR-93 Negatively Correlates with Overexpression of VEGFA and MMP3 in Endometriosis: A Cross-Sectional Study,"Muharam R, Rahmala Febri R, Mutia K, Iffanolida PA, Maidarti M, Wiweko B, Hestiantoro A.",Int J Fertil Steril. 2023 Jan 1;17(1):28-33. doi: 10.22074/ijfs.2022.543884.1233.,Muharam R,Int J Fertil Steril,2023,2023/1/8,PMC9807893,,10.22074/ijfs.2022.543884.1233
36597409,Exosomal miR-202 derived from leukorrhea as a potential biomarker for endometriosis,"Zheng L, Sun DF, Tong Y.",J Int Med Res. 2023 Jan;51(1):3000605221147183. doi: 10.1177/03000605221147183.,Zheng L,J Int Med Res,2023,2023/1/4,PMC9830089,,10.1177/03000605221147183
